"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-054" 229475.212335234 6715933.49018227 89 17.1171171171171 5.5
"sm-dnos-055" 229101.797367399 6716081.21545288 80 10.8108108108108 3.2
"sm-dnos-056" 228955.702170653 6716012.22906454 88 9.00900900900901 3.1
"sm-dnos-057" 228760.964501486 6715951.38122222 102 15.3153153153153 3.2
"sm-dnos-058" 228832.00557652 6715902.62589299 79 8.10810810810811 2.1
"sm-dnos-059" 229441.853790175 6715974.72865439 51 6.30630630630631 1.5
"sm-dnos-060" 229724.367183217 6716164.59193472 106 7.20720720720721 5.6
"sm-dnos-061" 229612.766970111 6716079.36300724 64 6.30630630630631 3.3
"sm-dnos-062" 229000.140854553 6716426.20528837 146 9.00900900900901 4.9
"sm-dnos-063" 228225.9639933 6716392.58336158 85 10.8108108108108 5.8
"sm-dnos-064" 228292.67195892 6716450.77895275 70 9.90990990990991 2.1
"sm-dnos-065" 228357.059140132 6716512.80054883 51 7.20720720720721 1.4
"sm-dnos-066" 228172.41279171 6716562.90191102 40 4.5045045045045 1.2
"sm-dnos-067" 227936.174235724 6716594.663362 52 6.30630630630631 2.2
"sm-dnos-068" 227975.731467655 6716625.68769324 37 5.40540540540541 1.7
"sm-dnos-069" 228494.119799747 6716586.90032832 87 10.8108108108108 2.6
"sm-dnos-070" 228641.183886827 6716524.12428936 113 12.6126126126126 3.7
"sm-dnos-071" 228543.522546051 6716387.6369296 111 10.8108108108108 3.8
"sm-dnos-072" 228697.053507281 6716393.79714759 121 10.8108108108108 2.9
"sm-dnos-073" 228637.387662852 6716292.84267269 216 23.4234234234234 9.7
"sm-dnos-074" 228763.906059528 6716105.9855828 38 5.40540540540541 1.4
"sm-dnos-075" 228769.324773522 6716246.33921102 80 10.8108108108108 2.9
"sm-dnos-076" 228770.932713631 6716508.07477988 113 12.6126126126126 4.4
"sm-dnos-077" 228794.190533456 6716800.17596325 126 10.8108108108108 5.8
"sm-dnos-078" 228937.691435857 6716864.66327454 176 18.018018018018 7.8
"sm-dnos-079" 229071.236193755 6716811.98230464 183 18.9189189189189 9.8
"sm-dnos-080" 229273.696749136 6716970.96512092 134 12.6126126126126 8
"sm-dnos-081" 229075.084439781 6716993.45412679 152 11.7117117117117 6.3
"sm-dnos-082" 228876.544633843 6717113.00974529 73 6.30630630630631 2.8
"sm-dnos-083" 228761.005424914 6717150.26096718 124 9.90990990990991 4.5
"sm-dnos-084" 228733.376783155 6716890.55809279 116 11.7117117117117 6.7
"sm-dnos-085" 228916.708692749 6716582.49109133 148 13.5135135135135 5.2
"sm-dnos-086" 229071.906081769 6716539.87479345 228 17.1171171171171 9.1
"sm-dnos-087" 229220.749848944 6716691.90462536 148 14.4144144144144 4.8
"sm-dnos-088" 229237.836221336 6716822.88797061 90 8.10810810810811 3.9
"sm-dnos-089" 229442.982989006 6716762.39269413 119 10.8108108108108 3.5
"sm-dnos-090" 229354.53681203 6716649.09966159 147 12.6126126126126 3.6
"sm-dnos-091" 229325.014492348 6716419.19499549 148 16.2162162162162 5.1
"sm-dnos-092" 229502.6471347 6716205.72110368 77 9.00900900900901 2.2
"sm-dnos-093" 229195.319430738 6715928.16800255 114 12.6126126126126 3.9
